,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_2p,NBA_2pa,NBA_2pp,NBA_3p,NBA_3pa,NBA_3pp,NBA_ast,NBA_blk,NBA_drb,NBA_fg,NBA_fga,NBA_fgp,NBA_ft,NBA_fta,NBA_ftp,NBA_g,NBA_mp,NBA_orb,NBA_pts,NBA_stl,NBA_tov,NBA_trb,NCAA_2p,NCAA_2pa,NCAA_2pp,NCAA_3p,NCAA_3pa,NCAA_3pp,NCAA_ast,NCAA_blk,NCAA_drb,NCAA_fg,NCAA_fga,NCAA_fgp,NCAA_ft,NCAA_fta,NCAA_ftp,NCAA_g,NCAA_mp,NCAA_orb,NCAA_pts,NCAA_stl,NCAA_tov,NCAA_trb
1214,/players/e/edwarsh01.html,Shane Edwards,2014,2014,F,Little Rock,6-7,220,"May 31, 1987",,,,,,,,,,,,,,,,,,,,,,,2.8,5.4,.521,0.5,1.5,.298,1.0,0.6,3.0,3.2,6.9,.472,2.1,3.2,.642,62,22.8,1.6,9.0,0.8,1.7,4.7
1215,/players/e/edwarvi01.html,Vince Edwards,2019,2019,F,Purdue,6-8,225,"April 5, 1996",,,,,,,,,,,,,,,,,,,,,,,3.0,5.8,.518,1.3,3.2,.392,2.9,0.5,3.7,4.3,9.0,.473,2.1,2.5,.820,138,28.7,1.9,11.9,0.5,1.7,5.6
1216,/players/e/eganjo01.html,Johnny Egan,1962,1972,G,Providence,5-11,180,"January 31, 1939",,,,,,,,,,2.4,6.4,.372,,,,46,16.3,,5.9,,,,,,,,,,,,,6.9,16.1,.427,,,,80,,,17.9,,,
1217,/players/e/egglelo01.html,Lonnie Eggleston,1949,1949,G,Oklahoma State,6-0,170,"June 8, 1918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,/players/e/ehlerbu01.html,Bulbs Ehlers,1948,1949,F-G,Purdue,6-3,198,"March 10, 1923",,,,,,,,,,3.1,9.9,.312,,,,59,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,
1219,/players/e/ehlocr01.html,Craig Ehlo,1984,1997,G-F,Washington State,6-6,180,"August 11, 1961",0.8,1.5,.515,0.0,0.1,.000,0.6,0.1,0.4,0.8,1.5,.493,0.4,0.7,.633,45,4.2,0.2,1.9,0.2,0.5,0.6,,,,,,,,,,3.4,6.4,.526,1.8,2.9,.621,60,25.1,,8.5,,,
1220,/players/e/eichhdi01.html,Rich Eichhorst,1962,1962,G,SE Missouri State,6-3,200,"October 21, 1933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,/players/e/eisleho01.html,Howard Eisley,1995,2006,G,Boston College,6-2,177,"December 4, 1972",0.9,2.1,.397,0.2,0.9,.250,2.3,0.1,0.9,1.1,3.1,.352,0.9,1.2,.775,34,14.6,0.3,3.3,0.5,1.2,1.2,2.6,6.0,.443,1.6,3.5,.447,4.3,0.1,,4.2,9.5,.444,3.0,3.8,.784,126,35.3,,12.9,1.5,2.9,3.3
1222,/players/e/ekeziob01.html,Obinna Ekezie,2000,2005,F-C,Maryland,6-9,270,"August 22, 1975",1.0,2.5,.395,0.0,0.0,,0.3,0.2,1.4,1.0,2.5,.395,1.1,1.6,.698,33,8.5,0.9,3.1,0.2,0.4,2.4,3.4,6.9,.490,0.0,0.0,.000,0.9,1.1,,3.4,6.9,.488,3.0,4.6,.654,118,24.0,,9.9,0.6,2.0,5.7
1223,/players/e/elamikh01.html,Khalid El-Amin,2001,2001,G,UConn,5-10,200,"April 25, 1979",,,,,,,,,,,,,,,,,,,,,,,3.6,7.8,.456,1.8,5.1,.355,4.4,0.1,,5.4,12.9,.416,2.7,3.3,.822,108,30.1,,15.3,1.7,2.7,3.0
1224,/players/e/eliasdo01.html,Don Eliason,1947,1947,F,Hamline University,6-2,210,"July 24, 1918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,/players/e/eliema01.html,Mario Elie,1991,2001,G-F,American International College,6-5,210,"November 26, 1963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
